name,description,price
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - Intel Core i5 10500H Comet Lake,  15.6 IPS matný 1920 × 1080 144Hz,  RAM  16GB DDR4,  NVIDIA GeForce RTX 3060 6GB,  SSD  512GB,  podsvícená klávesnice,  webkamera,  USB-C, WiFi 6,  51 Wh baterie, Hmotnost 1,86 kg,  Windows 10 Home ",30990
MSI GF65 Thin 10UE-098CZ kovový,"Notebook - Intel Core i7 10750H Comet Lake,  17.3 IPS matný 1920 × 1080 240Hz,  RAM  16GB DDR4,  NVIDIA GeForce RTX 3070 8GB 140 W,  SSD  1000GB,  numerická klávesnice, podsvícená RGB klávesnice,  webkamera,  USB-C, WiFi 6,  65 Wh baterie, Hmotnost 2,9 kg,  Windows 10 Home ",48990
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - Intel Core i7 10870H Comet Lake,  15.6 IPS matný 1920 × 1080 144Hz,  RAM  16GB DDR4,  NVIDIA GeForce RTX 3080 8GB 110 W,  SSD  1000GB, podsvícená RGB klávesnice,  webkamera,  USB 3.2 Gen 1,  USB-C, WiFi 6,  59 Wh baterie, Hmotnost 2,5 kg,  Windows 10 Home, HDD upgrade kit (PH315-53-7377) ",61990
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - Intel Core i5 9300H Coffee Lake,  15.6 IPS matný 1920 × 1080 120Hz,  RAM  8GB DDR4,  NVIDIA GeForce GTX 1650 4GB,  SSD  512GB,  numerická klávesnice,  podsvícená klávesnice,  webkamera,  USB-C, WiFi 6,  56 Wh baterie, Hmotnost 2,5 kg,  Windows 10 Home, HDD upgrade kit (AN515-54-54KC) ",21990
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - AMD Ryzen 5 4600H,  15.6 IPS antireflexní 1920 × 1080,  RAM  8GB DDR4,  NVIDIA GeForce GTX 1650 4GB,  SSD  256GB,  numerická klávesnice,  podsvícená klávesnice,  webkamera,  USB 3.2 Gen 1,  USB-C, WiFi 5, Hmotnost 2,2 kg,  Bez operačního systému ",16890
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - Intel Core i5 9300H Coffee Lake,  17.3 IPS matný 1920 × 1080 120Hz,  RAM  16GB DDR4,  NVIDIA GeForce RTX 2060  6GB,  SSD  1000GB,  podsvícená klávesnice,  USB-C, WiFi 6,  3850 mAh baterie, Hmotnost 3 kg,  Windows 10 Home, HDD upgrade kit (AN517-51-553L) ",27990
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - AMD Ryzen 5 4600H,  15.6 IPS matný 1920 × 1080 144Hz,  RAM  8GB DDR4,  NVIDIA GeForce GTX 1650 4GB,  SSD  512GB,  numerická klávesnice,  podsvícená klávesnice,  webkamera,  USB 3.2 Gen 1,  USB-C, WiFi 5,  52,5 Wh baterie, Hmotnost 2,25 kg,  Windows 10 Home (25P51EA) ",20990
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - Intel Core i5 9300H Coffee Lake,  15.6 IPS matný 1920 × 1080 120Hz,  RAM  16GB DDR4,  NVIDIA GeForce RTX 2060  6GB,  SSD  1000GB,  podsvícená klávesnice,  USB-C, WiFi 6,  3850 mAh baterie, Hmotnost 2,3 kg,  Windows 10 Home, HDD upgrade kit (AN515-54-581E) ",27990
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - AMD Ryzen 5 4600H,  15.6 IPS antireflexní 1920 × 1080 144Hz,  RAM  16GB DDR4,  NVIDIA GeForce RTX 2060  6GB,  SSD  512GB,  numerická klávesnice, podsvícená RGB klávesnice,  webkamera,  USB 3.2 Gen 1,  USB-C, WiFi 6,  80 Wh baterie, Hmotnost 2,46 kg,  Bez operačního systému ",24989
MSI GF65 Thin 10UE-098CZ kovový,"Herní notebook - Intel Core i7 10750H Comet Lake,  15.6 IPS matný 1920 × 1080 144Hz,  RAM  8GB DDR4,  NVIDIA GeForce RTX 3060 6GB 95 W,  SSD  512GB,  numerická klávesnice, podsvícená RGB klávesnice,  webkamera,  USB 3.2 Gen 1,  USB-C, WiFi 6, Hmotnost 2,3 kg,  Linux (AN515-55-73FG) ",27990
